Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Shasta-Trinity National Forest Motorized Travel Management Project  Proposal to Prohibit Cross-County Motor Vehicle Travel off Designated National Forest Transportation System (NFTS) Roads  Motorized Trails and Areas by the Public Except as Allowed by Permit or other Authorization (excluding snowmobile use)  CA,Final,04/26/2010,03/26/2010,Forest Service,,CA
Mt. Ashland Ski Area Expansion  To Address Matters Identified by the Ninth Circuit Court of Appeals for the Existing 2004 FEIS   Ashland Ranger District  Rogue River National Forest and Scott River Ranger District  Klamath National Forest  Jackson County  OR,D2,05/10/2010,03/26/2010,Forest Service,,OR
Imperial Sand Dunes Recreation Area Management Plan  Implementation  Imperial County  CA,Draft,06/23/2010,03/26/2010,Bureau of Land Management,,CA
Small-Scale Suction Dredging in Lolo Creek and Moose Creek Project  Updated Information to Analysis Three Alternatives  Clearwater National Forest  North Fork Ranger District  Clearwater and Idaho Counties  ID,Final,04/26/2010,03/26/2010,Forest Service,,ID
Port MacKenzie Rail Line Extension Construction and Operation  Alaska Railroad Corporation   Port MacKenzie  AK,Draft,05/10/2010,03/26/2010,Surface Transportation Board,,AK
Bridgeport Travel Management Project  To Provide the Primary Framework for Sustainable Management of Motor Vehicle Use on the Bridgeport Ranger District  Humboldt-Toiyabe National Forest  Mono County  CA and Lyon  Douglas  and Mineral Counties  NV,Final,04/26/2010,03/26/2010,Forest Service,,NV
Amargosa Farm Road Solar Energy Project  Construction and Operation of Two Concentrated Solar Power Plant Facilities  Right-of-Way Application on Public Lands  Nye County NV,Draft,05/17/2010,03/19/2010,Bureau of Land Management,,NV
Blythe Solar Power Project (09-AFC-6)  Application for Right-of Way Grant to Construct and Operate  and Decommission a Solar Thermal Facility on Public Lands  Riverside County  CA,Draft,07/12/2010,03/19/2010,Bureau of Land Management,,CA
Clear Prong Project  To Implement Silvicultural Activities  Including Thinning of Sub-Merchantable Trees  Prescribed Fires and Aspen Enhancement on 2 190 Acres  Bois National Forest  Cascade Ranger District  Valley County  ID,Draft,04/30/2010,03/19/2010,Forest Service,,ID
Coconino National Forest Travel Management Project  Proposes to Designate a System of Road and Motorized Travel  Implementation  Coconino and Yavapai County  AZ,Draft,05/17/2010,03/19/2010,Forest Service,,AZ
Amendment 3 to the 2006 Consolidated Atlantic Highly Migratory Species (HMS)  Fishery Management Plan To Implement Management Measures that Prevent Overfishing and Rebuild Overfished Stocks  Implementation,Final,04/14/2010,03/19/2010,National Oceanic and Atmospheric Administration,,
Bienville Offshore Energy Terminal (BOET) Deepwater Port License Application Amendment (Docket # USCG-2006-24644)  Proposes to Construct and Operate a Liquefied Natural Gas Receiving and Regasification Facility  Outer Continental Shelf of the Gulf of Mexico  South of Fort Morgan  AL,Final,05/13/2010,03/19/2010,U.S. Coast Guard,,AL
Sugar Pine Adaptive Management Project  Proposal to Create a Network of Strategically Placed Landscape Area Treatments (SPLATs) and Defensible Fuels Profiles near Key Transportation Corridors to Reduce the Intensity and Spread of Wildfires across the landscape and near Communities  Madera and Mariposa Counties  CA,Final,04/12/2010,03/19/2010,Forest Service,,CA
Central and Southern Florida Project  Comprehensive Everglades Restoration Plan  Biscayne Bay Coastal Wetlands Phase I Project   To Restore the Natural Hydrology and Ecosystem in an Area Degraded by Drainage Systems and Land Development  Miami-Dade County  FL,Draft,04/27/2010,03/19/2010,U.S. Army Corps of Engineers,,FL
~VOIDED~-Bay Area to Central Valley High-Speed Train (HST) Project  Additional Information and Analysis Needed for Compliance with the Court Judgement    Provide a Reliable High-Speed Electrified Train System to Link Bay Area Cities to the Central Valley  Sacramento  and South California,Revised Draft,,03/19/2010,Federal Railroad Administration,,SC
WITHDRAWN - Federal Reserve Bank of San Francisco  Propose to sell the Property at 1015 Second Avenue that is Eligible for Listing on the National Register of Historic Places  located in Seattle  WA,Final,04/19/2010,03/19/2010,Federal Reserve Bank of San Francisco,,WA
Southeastern Lincoln  County Habitat Conservation Plan  Application Package for Three Incidental Take Permits  Authorize the Take of Desert Tortoise (Gopherus agassizii) and Southwestern Williow Flycatcher (Empidonax traillii extimus)  Implementation  Lincoln County  NV,Final,04/19/2010,03/19/2010,Fish and Wildlife Service,,NV
Joint Readiness Training Center and Fort Polk Land Acquisition Program  Purchase and Lease Lands for Training and Management Activities  in the Parishes of Vernon  Sabine  Natchitoches  LA,Final,04/19/2010,03/19/2010,United States Army,,LA
First Tier - Future I-70 Kansas City Metro Project  Proposing to Improve I-70 Corridor from East of the Missouri and Kansas State Line to East of I-470 Interchange  Downtown Central Business Freeway Loop  Kansas City  Jackson County  MO,Draft,05/03/2010,03/19/2010,Federal Highway Administration,,MO
Swan Falls Hydroelectric Project  Application for a New License for the 25-megawatt Hydroelectric Facility (FERC Project No. 503-048)  Snake River  Ada and Owyhee Counties  ID,Draft,04/26/2010,03/12/2010,Federal Energy Regulatory Commission,,ID
Cape Hatteras National Seashore Off-Road Vehicle Management Plan  Implementation  NC,Draft,05/10/2010,03/12/2010,National Park Service,,NC
Resumption of Year-Round Firing Opportunities at Fort Richardson  Proposal to Strengthen Unit Preparedness and Improve Soldier and Family Quality of Life by Maximizing Live-Fire Training  Fort Richardson  AK,Draft,06/10/2010,03/12/2010,United States Army,,AK
Northeastern Tributary Reservoirs Land Management Plan  Implementation  Beaver Creek  Clear Creek  Boone  Fort Patrick Henry  South Holston  Watauga  and Wilbur Reservoirs  Carter  Johnson  Sullivan  and Washington Counties  TN and Washington County  VA,Final,04/13/2010,03/12/2010,Tennessee Valley Authority,,TN
Upper Beaver Creek Vegetation Management Project  Proposes to Implement Multiple Resource Management Actions  Pauline Ranger District  Ochoco National Forest  Crook County  OR,Final,04/09/2010,03/12/2010,Forest Service,,OR
Douglas and Nolichucky Tributary Reservoirs Land Management Plan  Implementation  Cocke  Greene  Hamblen  Jefferson and Sevier Counties  TN,Draft,04/19/2010,03/12/2010,Tennessee Valley Authority,,TN
Buckskin Mine Hay Creek II Project  Coal Lease Application WYW-172684  Wyoming Powder River Basin  Campbell County  WY,Draft,05/21/2010,03/12/2010,Bureau of Land Management,,WY
Freds Fire Reforestation Project  Implementation  EL Dorado National Forest  Placerville and Pacific Ranger Districts  El Dorado County  CA,Final,04/12/2010,03/12/2010,Forest Service,,CA
Allotment Management Planning in the McKelvie Geographic Area Project  Livestock Grazing on 21 Allotments  Bessey Ranger District  Samuel R. McKelvie National Forest  Cherry County  NE,Draft,04/26/2010,03/12/2010,Forest Service,,NE
San Diego County Water Authority Natural Community Conservation Plan/Habitat Conservation Plan  Issuing of an Incidental Take Permit  San Diego and Riverside Counties  CA,Draft,06/10/2010,03/12/2010,Fish and Wildlife Service,,CA
WITHDRAWN - Interstate 395 (I-395) Development and Environment Study Project  From I-95 to West Channel Bridges of the MacArthur Causeway at Biscayne Bay  City of Miami  Miami-Dade County  FL,Final,03/19/2010,03/12/2010,Federal Highway Administration,,FL
Yukon Flats National Wildlife Refuge Project  Proposed Federal and Public Land Exchange  Right-of-Way Grant  Anchorage  AK,Final,04/09/2010,03/12/2010,Fish and Wildlife Service,,AK
I-69 Evansville to Indianapolis  Indiana Project  Section 2  Revised to Update the Stream Impacts   Oakland City to Washington  (IN-64 to US 50)  Gibson  Pike and Daviess Counties  IN,Final,03/23/2010,03/05/2010,Federal Highway Administration,,IN
Amendment 17A to the Fishery Management Plan for the Snapper Grouper Fishery of the South Atlantic Region  To Implement Long-Term Management Measures Expected to End Overfishing of the Red Snapper Stock  South Atlantic Region,Draft,03/26/2010,03/05/2010,National Oceanic and Atmospheric Administration,,
East Deer Lodge Valley Landscape Restoration Management Project  To Conduct Landscapge Restoration Management Activities  Pintler Ranger District  Beaverhead Deerlodge National Forest  Powell and Deerlodge Counties  MT,Draft,04/19/2010,03/05/2010,Forest Service,,MT
Bemidji - Grand Rapid 230 kV Transmission Line Project  Propose to Construct and Operate  Beltrami  Hubbard  Cass  Itasca Counties  MN,Draft,04/15/2010,03/05/2010,Rural Utilities Service,,MN
Corporate Average Fuel Economy (CAFE) Standards Passenger Car and Light Trucks Model Years 2012-2016  To Reduce National Energy Consumption by Increasing the Fuel Economy of Passenger Car and Light Trucks sold in the United States  Implementation,Final,,03/03/2010,National Highway Traffic Safety Administration,,
Sparring Bulls Project  Proposes Timber Harvest  Non-commercial Fuels Reduction  Prescribed Burning  and Watershed Improvement Activities  Three Rivers Ranger District  Kootenal National Forest  Lincoln County  MT,Draft,04/08/2010,02/26/2010,Forest Service,,MT
Wallops Flight Facility  Shoreline Restoration and Infrastructure Protection Program  Implementation  Wallops Island  VA,Draft,04/19/2010,02/26/2010,National Aeronautics and Space Administration,,VA
Generic - License Renewal of Nuclear Plants  Regarding Cooper Nuclear Station  Unit 1  Supplement 41 to NUREG-1437  Nemaha County  NE,Draft,05/03/2010,02/26/2010,Nuclear Regulatory Commission,,NE
Yosemite National Park Project  Construction of Yosemite Institute Environment Education Campus  Implementation  Mariposa County  CA,Final,03/05/2010,02/26/2010,National Park Service,,CA
Tahoe National Forest Motorized Travel Management  Implementation  Corrections to  the National Forest Transportation System Data   Sierra Nevada Mountains  Nevada  Placer  Plumas  Sierra and Yuba Counties  CA,Draft Supplement,04/12/2010,02/26/2010,Forest Service,,CA
South Unit Oil and Gas Development Project  Master Development Plan  Implementation  Duchesne/Roosevelt Ranger District  Ashley National Forest  Duchesne County  UT,Draft,04/28/2010,02/26/2010,Forest Service,,UT
Stirling Energy Systems (SES) Solar 2 Project  Construct and Operate  Electric-Generating Facility  Imperial Valley  Imperial County  CA,Draft,05/27/2010,02/26/2010,Bureau of Land Management,,CA
Presidio Flood Control Project  Flood Control Improvements and Partial Levee Relocation  Presidio  TX,Final,03/29/2010,02/26/2010,International Boundary and Water Commission,,TX
Saddle Road (HI-200) Improvements Project. Proposed Improvement from  Mamalahoa Highway (HI-190) to  Milepost 41  Hawaii County  HI,Final Supplement,03/29/2010,02/26/2010,Federal Highway Administration,,HI
WITHDRAWN - Campo Regional Landfill Project  Construction and Operation  Permit Lease and Sublease Use of Reservation Land  Campo Indian Reservation  San Diego County  CA,Draft Supplement,05/17/2010,02/26/2010,Bureau of Indian Affairs,,CA
South Fork Salmon River Subbasin Noxious and Invasive Weed Management Program  Implementation  Krassel and McCall Ranger Districts  Payette National Forest and Cascade Ranger District  Valley and Idaho Counties  ID,Second Final,03/29/2010,02/26/2010,Forest Service,,ID
Lewis and Clark National Wildlife Refuge and Julia Butler Hansen Refuge for the Columbian White-tailed Deer  Comprehensive Conservation Plan  Implementation  Wahkiakum County  WA and Clatsop and Columbia Counties  OR,Draft,04/12/2010,02/26/2010,Fish and Wildlife Service,,
Southeast (SE) Connector in Des Moines  Iowa  To Provide a Safe and Efficient Link between the MLK Jr. Parkway at SE 14th Street to the U.S. 65 Bypass  Funding  US Army COE Section 404 and NPDES Permits  Polk County  IA,Final,03/17/2010,02/19/2010,Federal Highway Administration,,IA
US-31 Holland to Grand Haven Project  Transportation Improvement to Reduce Traffic Congestation and Delay  Ottawa County  MI,Final,03/17/2010,02/19/2010,Federal Highway Administration,,MI
Natomas Levee Improvement Program Phase 4a Landside Improvement Project  Issuing of 408 Permission and 404 Permits  California Department of Water Resources (DWR) and the California Central Valley Flood Protection Board  Sutter and Sacramento Counties  CA,Final,03/22/2010,02/19/2010,U.S. Army Corps of Engineers,,CA
Lower Trinity and Mad River Motorized Travel Management  Proposed to Prohibit Cross-County Motor Vehicle Travel Off Designated National Forest Transportation System (NFTS) Roads and Motorized Trails  Six River National Forest  CA,Final,03/18/2010,02/19/2010,Forest Service,,CA
GENERIC - License Renewal of Nuclear Plants (GEIS) Regarding Duane Arnold Energy Center  Supplement 42 to NUREG-1437  near the Town of Palo  Linn County  IA,Draft,04/16/2010,02/19/2010,Nuclear Regulatory Commission,,IA
PROGRAMMATIC - Conservation Reserve Program (CRP)  Implement Certain Changes to the CRP as Enacted by Congress in the 2008 Farm Bill  in the United States,Draft Supplement,04/05/2010,02/19/2010,Farm Service Agency,,
ADOPTION - Southwest Intertie Project  Construction and Operation  500kV Transmission Line from the existing Midpoint substation near Shoshone  ID to a new substation site in the Dry Lake Valley of Las Vegas  NV area to a point near Delta  UT  Permits Approval and C,Final,03/22/2010,02/19/2010,Western Area Power Administration,,NV
New Melones Lakes Area  Resource Management Plan  Implementation  Tuolumne and Calaveras Counties  CA,Final,03/22/2010,02/19/2010,Bureau of Reclamation,,CA
Sierra Nevada Forest Plan Amendment  Proposes to Provide an Objective Comparison of all of the  Alternatives for 2004 Final EIS   Amending Land and Resource Management Plans  Modoc  Lasser  Plumas  Tahoe  Eldorado  Stanislaus  Sequoia  Sierra  Inyo and Humboldt-Toiyabe National Forests  and the Lake Tahoe Basin Management Unit  Several Counties  CA and NV,Second Draft Supplemental,05/05/2010,02/19/2010,Forest Service,,CA
Hatchery and Stocking Program. Operation  of 14 Trout Hatcheries and the Mad River Hatchery for the Anadromous Steelhead   Federal Funding  California Department of Fish and Game  CA,Final,03/22/2010,02/19/2010,Fish and Wildlife Service,,CA
Lake Columbia Regional Water Supply Reservoir Project  Proposes to Construct  Operate and Maintain a Dam and Reservoir  Mud Creek   Angelina River  Cherokee and Smith Counties  TX,Draft,05/21/2010,02/19/2010,U.S. Army Corps of Engineers,,TX
Chevron Energy Solutions Lucerne Valley Solar Project  Proposing To Develop a 45-megawatt (MW) Solar Photovotaic (PV) Plant and Associated Facilities on 516 Acres of Federal Land Managed  California Desert Conservation Area Plan Amendment  San Bernardino County  Ca,Draft,05/20/2010,02/19/2010,Bureau of Land Management,,CA
GENERIC - License Renewal of Nuclear Plants for Kewaunee Power Station  Supplement 40 to NUREG-1437  Kewaunee County  WI,Draft,04/06/2010,02/05/2010,Nuclear Regulatory Commission,,WI
ADOPTION -  Delta-Mendota Canal/California Aqueduct Intertie Project  Construction and Operation of a Pumping Plant and Pipeline Connection  San Luis Delta-Mendota Water Authority Project  Central Valley Project   Alameda and San Joaquin Counties  CA,Final,03/08/2010,02/05/2010,Western Area Power Administration,,CA
Cle Elum Dam Fish Passage Facilities and Fish Reintroduction Project  To Restore Connectivity  Biodiversity  and Natural Production of Anadromous Salmonids  Kittitas County  WA,Draft,03/22/2010,02/05/2010,Bureau of Reclamation,,WA
Deer Creek Station Energy Facility Project  Proposed 300-megawatt (MW) Natural Gas-Fired Generation Facility  Brookings County  SD,Draft,03/11/2010,02/05/2010,Western Area Power Administration,,SD
Big Grizzly Fuels Reduction and Forest Health Project  Proposes Vegetation Treatments  Eldorado National Forest  Georgetown Ranger District  Georgetown  CA,Draft,03/18/2010,02/05/2010,Forest Service,,CA
Bridger-Teton National Forest  Proposal to Determine What Terms and Conditions to Allow Development of  Oil and Gas Leasing in the Wyoming Range  Sublette County  WY,Draft Supplement,03/10/2010,02/05/2010,Forest Service,,WY
Amendment 31 to the Fishery Management Plan for Reef Fish Resources  Addresses Bycatch of Sea Turtles in the Bottom Longline Component of the Reef Fish Fishery  Gulf of Mexico,Final,03/03/2010,02/05/2010,National Oceanic and Atmospheric Administration,,
North Topsail Beach Shoreline Protection Project  Seeking Federal and State Permits to Allow Implementation of a Non-Federal Shoreline and Inlet Management Project  New River Inlet  Onslow County  NC,Final,03/05/2010,02/05/2010,U.S. Army Corps of Engineers,,NC
Southwest Idaho Ecogroup Land and Resource Management Plan  Updated Information to Reanalyzes the Effects of Current and Proposed Management on Rock Mountain Bighorn Sheep Viability in the Payette National Forest 2003 FEIS    Boise National Forest  Payette National Forest and Sawtooth National Forest  Forest Plan Revision   Implementation  Several Counties  ID; Malhaur County  OR and Box Elder County  UT,Third Draft Supplemental,03/22/2010,02/05/2010,Forest Service,,ID - OR
Long -Term Management and Storage of Elemental Mercury Storage Project  Designate a Facility or Facilities for Mercy Storage  Seven Alternative Sites  CO  ID  MO  NV  SC and WA,Draft,03/29/2010,01/29/2010,Department of Energy,,CO - ID - MO - NV - SC - TX
Folsom Lake State Recreation Area & Folsom Powerhouse State Historic Park  General Plan/Resource Management Plan  Implementation  Placer County  CA,Final,03/01/2010,01/29/2010,Bureau of Reclamation,,CA
Klamath National Forest Motorized Route Designation  Motorized Travel Management  (Formerly Motorized Route Designation)  Implementation  Siskiyou County  CA  and Jackson County  OR,Final,03/01/2010,01/29/2010,Forest Service,,CA
University Corridor Fixed Guideway Project  To Implement Transit Improvements from Hillcroft Transit Center to the Vicinity of the University of Houston (UH) - Central Campus or the Eastwood Transit Center  City of Houston  Harris County  TX,Final,03/01/2010,01/29/2010,Federal Transit Administration,,TX
West Valley Demonstration Project and Western New York Nuclear Service Center Decommissioning and /or Long-Term Stewardship (DOE/EIS-0226-D Revised)  City of Buffalo  Eric and Cattaraugus Counties   NY,Final,03/01/2010,01/29/2010,Department of Energy,,NY
Amendment 21 to the Pacific Coast Groundfish Fishery Management Plan  (FMP)  Allocation of Harvest Opportunity between Sectors  Implementation  WA  OR  and CA,Draft,03/15/2010,01/29/2010,National Oceanic and Atmospheric Administration,,CA - OR
New River Gorge National River Project  General Management Plan  Implementation  Fayette  Raleigh and Summers Counties  WV,Draft,04/01/2010,01/29/2010,National Park Service,,WV
Silver Strand Training Complex (SSTC) Project  Proposed Naval Training Activities  Cities of Coronado and Imperial Beach  San Diego County  CA,Draft,03/09/2010,01/22/2010,United States Navy,,CA
PROGRAMMATIC  - Louisiana Coastal Area (LCA) Beneficial Use of Dredged Material (BUDMAT) Program Study  To Establish the Structure and Management Architecture of the BUDMAT Program  Implementation  MS  TX and LA,Final,02/22/2010,01/22/2010,United States Army,,
District of Columbia - III Project  Proposal for Contractor-Owned/Operated Facility  to House Felons and Criminal Aliens  Possible Sites:  Winton Site  Hertford County  NC and Princess Anne Site  Somerset County  MD,Draft,03/08/2010,01/22/2010,Bureau of Prisons,,
Pilgrim Vegetation Management Project  Updated Information to Address and Respond to the Specific Issues Identified in the Court Ruling. Implementation  Shasta-Trinity National Forest  Siskiyou County  CA,Final Supplement,02/22/2010,01/22/2010,Forest Service,,CA
WA-520  I-5 to Medina Bridge Replacement and HOV Project  To Improve Mobility for People and Goods across Lake Washington  in Seattle  King County  WA,Draft Supplement,04/15/2010,01/22/2010,Federal Highway Administration,,WA
Surf City and North Topsail Beach Project  To Evaluate Coastal Storm Damage Reduction   Topsail Island  Pender and Onslow Counties  NC,Draft,02/24/2010,01/22/2010,U.S. Army Corps of Engineers,,NC
Eddy Gulch Late-Successional Reserve Fuels/Habitat Protection Project  To Protect Late-Successional Habitat used by the Northern Spotted Owl and Other Late-Successional-Dependent Species  Salmon River and Scott River Ranger District  Klamath National Forest  Siskiyou County  CA,Final,02/22/2010,01/22/2010,Forest Service,,CA
Upper Las Vegas Wash Conservation Transfer Area (CTA)  Propose to Establish a Final Boundary  Clark County  NV,Draft Supplement,04/12/2010,01/22/2010,Bureau of Land Management,,NV
Rogue River-Siskiyou National Forest  Motorized Vehicle Use  To Enact the Travel Management Rule  Implementation  Douglas  Klamath  Jackson  Curry  Coos and Josephine Counties  OR and Del Norte and Siskiyou Counties  CA,Final,02/22/2010,01/22/2010,United States Air Force,,
International Falls Land Port of Entry Improvements Study  Proposes to Replace the Existing Land Port of Entry  Minnesota  along the US and Canada Border,Draft,02/22/2010,01/22/2010,General Services Administration,,
Amendment 3 to the Northeast Skate Complex Fishery Management  Plan  Implementation of New Management Measures to Rebuild Overfished Skate Stocks  End Overfishing of Skate Fisheries  Gulf of Maine (GOM)  Georges Bank (GB)  South New England and Mid-Atlantic Regions,Final,02/22/2010,01/22/2010,National Oceanic and Atmospheric Administration,,
WI-23 Highway Project  Transportation Improve between Fond du Lac and Plymouth  Fond du Lac and Sheboygan Counties  WI,Draft Supplement,03/11/2010,01/22/2010,Federal Highway Administration,,WI
Amendment 11 to the Atlantic Mackerel  Squid  and Butterfish (MSB)  Fishery Management Plan (FMP)  Establish an Atlantic Mackerel Limited Access Program  Implementation,Draft,03/02/2010,01/15/2010,National Oceanic and Atmospheric Administration,,
Grand Forks Air Force Base Project  Beddown and Flight Operations of Remotely Piloted Aircraft  Base Realignment and Closure  (BRAC)  ND,Draft,02/26/2010,01/15/2010,United States Air Force,,ND
Ruby Pipeline Project  Proposed Natural Gas Pipeline Facilities  Right-of-Way Grants (and/or Temporary Use or Special Use Permits)  WY  UT  NV and OR,Final,03/10/2010,01/15/2010,Federal Energy Regulatory Commission,,NV - OR - UT
Middle Kyle Canyon Complex Project  Construction and Operation of a Recreation Complex within the Spring Mountains National Recreation Area  Humboldt-Toiyabe National Forest  Clark County  NV,Final,02/09/2010,01/15/2010,Forest Service,,NV
South Dakota PrairieWinds Project  Proposes to Construct  Own  Operate  and Maintain a 151.5 megawatt (MW)  Nameplate Capacity Wind-Powered Generation Facility  Aurora  Brule  and Jerauld  Tripp Counties  SD,Draft,03/02/2010,01/15/2010,Department of Energy,,SD
Rex Whitton Expressway Project  To Safely and Reliably Improve Personal and Freight Mobility  Reduce Traffic Congestion   US 50/63 (Rex Whitton Expressway  also Known as Whitton) Facility in Cole County  MO,Draft,02/19/2010,01/08/2010,Federal Highway Administration,,MO
St. Johns River Crossing Project  Improved Highway Corridor and Brdge Crossing the St. John River between Clay and St. Johns Counties  FL,Draft,03/09/2010,01/08/2010,Federal Highway Administration,,FL
Bison Pipeline Project  (Docket No. CP09-161-000)  Construction  Operation  and Maintenance of Interstate Natural Gas Pipeline Facilities  Application for Right-of-Way Grant and  Temporary Use Permit  NPDES Permit and US COE 404 Permit  WY  MT  and ND,Final,02/01/2010,12/31/2009,Federal Energy Regulatory Commission,,
Niagara Project  To Address Site-Specific Vegetation and Transportation System Needs in the Project Areas  Hiawatha National Forest  St. Ignace and Sault Ste. Marie Ranger Districts  Mackinac and Chippewa Counties  MI,Final,01/15/2010,12/31/2009,Forest Service,,MI
South Park Bridge Project  Proposes to Rehabilitate or Replace the Historic South Park Ridge over the Duwamish Waterway at 14th/16 Avenue S  US Coast Guard Permit and U.S. Army COE Section 10 and 404 Permits  King County  WA,Final,02/01/2010,12/31/2009,Federal Highway Administration,,WA
Boise National Forest Project  Proposed Amendments to the Land and Resource Management Plan  Wildlife Conservation Strategy (WCS) Phase 1:  Forested Biological Community  Located within Portions of Ada  Boise  Elmore  Gem  and Valley Counties  ID,Draft,03/24/2010,12/24/2009,Forest Service,,ID
Foley Land Cut Portion of the Gulf Intracoastal Waterway  Proposed Construction of Residential  Commercial and Marine Development  Gulf Shores and Orange Beach  Baldwin County  AL,Final,01/25/2010,12/24/2009,U.S. Army Corps of Engineers,,AL
Jarbidge Ranger District Rangeland Management Project  Proposed Reauthorizing Grazing on 21 Existing Grazing Allotments  Humboldt Toiyabe National Forest  Elko County  NV,Final,01/25/2010,12/24/2009,Forest Service,,NV
Sabine-Neches Waterway Channel Improvement Project  Proposed Ocean Dredged Material Disposal Site Designation  Southeast Texas and Southwest Louisiana,Draft,02/18/2010,12/24/2009,U.S. Army Corps of Engineers,,LA
ADOPTION - Department of Homeland Security Headquarters at the St. Elizabeths West Campus  To Consolidate Federal Office Space on a Secure Site  Washington  DC,Final,01/25/2010,12/24/2009,Federal Highway Administration,,DC
White Sands Missile Range (WSMR)  Development and Implementation of Range-Wide Mission and Major Capabilities  NM,Final,01/21/2010,12/24/2009,United States Army,,NM
Shelby Avenue/Demonbreun Street (Gateway Boulevard Corridor  from I-65 North [I-24 West] to I-40 West in Downtown Nashville  To Address Transportation needs in the Study Area.  Davidson County  TN,Final Supplement,01/21/2010,12/24/2009,Federal Highway Administration,,TN
Vail Ski Area's 2007 Improvement Project  Proposed On-Mountain Restaurant from the top of Vail Mountain to Mid Vail  Special-Use-Permit  Eagle/Holy Cross Ranger District  White River National Forest  Eagle County  CO,Final,01/25/2010,12/24/2009,Forest Service,,CO
Aroostook County Transport Study  Route I-161 Connector  To Identify Transportation Corridors that will Improve Mobility and Efficiency within Northeastern Aroostook County and other portions of the U.S. and Canada  US Army COE Section 404 Permit  Endangered Species Act  NPDES and Section 10 River and Harbors Act  Caribou  Aroostook County  ME,Final,01/25/2010,12/24/2009,Federal Highway Administration,,ME
Roosevelt-Vanderbilt National Historic Sites  General Management Plan  Implementation  Hyde Park  NY,Draft,02/22/2010,12/24/2009,National Park Service,,NY
Draper Transit Corridor Project  To Improve Transportation Mobility and Connectivity for Residents and Commuters in the Project Study Area  Salt Lake County  UT,Draft,01/29/2010,12/18/2009,Federal Transit Administration,,UT
Glyphosate -Tolerant Alfalfa Events J101 and J163: Request for Nonregulated Status  Implementation  United States,Draft,03/03/2010,12/18/2009,Animal and Plant Health Inspection Service,,
Western Wake Regional Wastewater Management Facilities  Proposed Construction of Regional Wastewater Pumping  Conveyance  Treatment  and Discharge Facilities to Serve the Towns of Apex  Cary  Holly Springs and Morrisville  Research Triangle Park   Wake County  NC,Final,02/09/2010,12/18/2009,U.S. Army Corps of Engineers,,NC
Canyon Fuels and Vegetation Management Project  Proposed Fuels and Vegetation Treatment to Reduce the Risk of Stand Loss Due to Overly Dense Stand Conditions  Lookout Mountain Ranger District  Ochoco National Forest  Crook County  OR,Draft,01/29/2010,12/18/2009,Forest Service,,OR
Lassen National Forest  Motorized Travel Management Plan  Implementation  Butte  Lassen  Modoc  Plumas  Shasta  Siskiyou  Tehama Counties  CA,Final,01/15/2010,12/18/2009,Forest Service,,CA
National Mall Plan  To Prepare a Long-Term Plan that will Restore National Mall  Implementation  Washington  DC,Draft,03/15/2010,12/18/2009,National Park Service,,DC
Selway-Bitterroot Wilderness Plants Management Project  To Prevent the Establishment of New Invaders and Reduce the Impacts of Established Invasive Plants on Native Plant Community Stability  Sustainability and Diversity  Nez Perce  Clearwater  Lolo  and Bitterroot National Forests   ID and MT,Final,02/01/2010,12/18/2009,Forest Service,,
Bering Sea Chinook Salmon Bycatch Management  Establish New Measures to Minimize Chinook Salmon Bycatch  To Amend the Fishery Management Plan  Implementation  Bering Sea Pollock Fishery  AK,Final,02/11/2010,12/18/2009,National Oceanic and Atmospheric Administration,,AK
Minidoka Dam Spillway Replacement Project  To Prevent Structural Failure of the Minidoka Dam Spillway and Canal Headworks  Lake Walcott  Minidoka County  ID,Draft,02/04/2010,12/18/2009,Bureau of Reclamation,,ID
East Columbia Transportation Project  To Improve the Transportation Network in Eastern Columbia/Boone County by: 1) extending Route 740 from its Terminus at US-63  along a new Alignment  to I-70 at the existing St. Charles road interchange  2) Improving existing Broadway (Route WW) to Olivet Road and 3) Extending Ballenger Lane  from Future Route 740 to Clark Lane  City of Columbia  Boone County  MO,Final,01/12/2010,12/18/2009,Federal Highway Administration,,MO
Equus Beds Aquifer Storage Recharge and Recovery Project  To Provide Municipal and Industrial (M&I) Water to City and Surrounding Region  Equus Beds Division  Wichita Project  Kansas  Harvey  Sedgwick  and Reno Counties  KS,Final,12/31/2009,12/11/2009,Bureau of Reclamation,,KS
U.S. Marine Corps Grow the Force at MCB Camp Lejeune  MCAS New River  and MCAS Cherry Point  To Provide the Infrastructure to Support the Permanent Increases at these three Installations  US Army Corps Section  404 and 10 Permits  City of Jacksonville  NC,Final,01/11/2010,12/11/2009,United States Marine Corps,,NC
The Town of Nags Head Beach Nourishment Project  Propose to Utilize a Self-Contained Hooper Dredge and Other Feasible Dredging Equipment during a Proposed Construction Window from April through September   Dare County  NC,Draft,01/21/2010,12/11/2009,U.S. Army Corps of Engineers,,NC
U.S. Steel Keetac Taconite Mine Expansion Project  Propose to Restart an Idled Production Line and Expand Contiguous Sections of the Open Pit Iron Ore Mine   located  near Keewatin  Itasca and St. Louis Counties  MN,Draft,01/27/2010,12/11/2009,U.S. Army Corps of Engineers,,MN
I-69 Evansville to Indianapolis  Indiana Project  Section 3  Washington to Crane  NSWC (US 50 to US 231)  Daviess  Greene  Knox and Martin Counties  IN,Final,01/07/2010,12/11/2009,Federal Highway Administration,,IN
