Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Surplus Plutonium Disposition Program,Final,,01/19/2024,National Nuclear Security Administration,,SC - NM - TN - TX
Utility-Scale Solar Energy Development PEIS,Draft,,01/19/2024,Bureau of Land Management,"DOD, DOE, EPA, USFWS, NPS",DC - AZ - CA - CO - ID - MT - NM - NV - OR - UT - WA - WY
California Wildlife Damage Management Joint EIR-EIS,Draft,,01/12/2024,Animal and Plant Health Inspection Service,"BIA, USFWS",CA
New York Bight,Draft,03/13/2024,01/12/2024,Bureau of Ocean Energy Management,"EPA, USFWS, NMFS, NPS, NJDEP, USACE, USCG",NY - NJ
Rough Hat Clark Solar Project Draft EIS and Resource Management Plan,Draft,04/11/2024,01/12/2024,Bureau of Land Management,"EPA, USFWS",NV
"Site-Specific Environmental Impact Statement for License Renewal of Nuclear Plants Supplement 7a, Second Renewal Regarding Subsequent License Renewal for North Anna Power Station Units 1 and 2",Draft,02/21/2024,01/05/2024,Nuclear Regulatory Commission,,MD
Programmatic Environmental Impact Statement Addressing Vegetation Treatments Using Herbicides,Final,,12/29/2023,Bureau of Land Management,,PRO
West Fork Kickapoo Watershed,Draft,02/16/2024,12/22/2023,Natural Resource Conservation Service,"EPA, USFWS, USACE",WI
Coon Creek Watershed,Draft,02/16/2024,12/22/2023,Natural Resource Conservation Service,"EPA, USFWS, USACE",WI
"American River Common Features, 2016 Flood Risk Management Project, Sacramento, California Supplemental Environmental Impact Statement/ Subsequent Environmental Impact Report XIV",Third Draft Supplemental,02/23/2024,12/22/2023,U.S. Army Corps of Engineers,,CA
Sunrise Wind Project,Final,01/12/2024,12/15/2023,Bureau of Ocean Energy Management,"EPA, USFWS, NMFS, NPS, USACE, USCG",NY - MA - RI
ANCSA 17(d)(1) Withdrawals,Draft,02/07/2024,12/15/2023,Bureau of Land Management,EPA,AK
Comprehensive Everglades Restoration Plan Western Everglades Restoration Project Draft Integrated Project Implementation Report and Environmental Impact Statement,Draft,,12/15/2023,U.S. Army Corps of Engineers,BIA,FL
Last Chance Grade Permanent Restoration Project Draft Environmental Impact Report/ Environmental Impact Statement and Draft Section 4(f) Evaluation,Draft,,12/15/2023,California Department of Transportation,"EPA, USFWS, NMFS, NPS, USACE",CA
Tonto National Forest Plan Revision,Final,,12/08/2023,Forest Service,,AZ
ADOPTION - Gulf of Alaska Navy Training Activities,Final Supplement,,12/08/2023,National Marine Fisheries Service,,AK
ADOPTION - Point Mugu Sea Range,Final,,12/08/2023,National Marine Fisheries Service,,CA
ADOPTION - Northwest Training and Testing Activities Final Supplemental Environmental Impact Statement/Overseas Environmental Impact Statement,Final Supplement,,12/08/2023,National Marine Fisheries Service,,WA
ADOPTION - Mariana Islands Training and Testing,Final Supplement,,12/08/2023,National Marine Fisheries Service,,GU
ADOPTION - Surveillance Towed Array Sensor System Low Frequency Active (SURTASS LFA) Sonar,Final Supplement,,12/08/2023,National Marine Fisheries Service,,HI
ADOPTION - Hawaii-Southern Californian Training and Testing Final Environmental Impact Statement/Overseas Environmental Impact Statement,Final,,12/08/2023,National Marine Fisheries Service,,HI
Nationwide Aerial Application of Fire Retardant on National Forest System Lands,Final Supplement,,12/01/2023,Forest Service,,NAT
Cart Creek Site 1 of the North Branch Park River Watershed Plan,Draft,01/26/2024,12/01/2023,Natural Resource Conservation Service,"USFWS, USACE",ND
Dell Creek and Forest Park Elk Feedgrounds: Long-Term Special Use Permits,Draft,,12/01/2023,Forest Service,,WY
ADOPTION - Airspace Optimization for Readiness for Mountain Home Air Force Base,Final,,12/01/2023,Federal Aviation Administration,,ID
"Draft General Reevaluation Report with Integrated Supplemental Environmental Impact Statement: Ala Wai Canal Flood Risk Management Study, Oahu, Hawaii",Draft Supplement,,11/24/2023,U.S. Army Corps of Engineers,,HI
KC-46A Main Operating Base No. 6 Beddown,Final,,11/24/2023,United States Air Force,,FL - WA
The Makah Tribe Request to Hunt Gray Whales,Final,,11/17/2023,National Marine Fisheries Service,BIA,WA
Draft Environmental Impact Statement for the Barred Owl Management Strategy,Draft,01/11/2024,11/17/2023,Fish and Wildlife Service,"BLM, USFS, NPS, WDFW",OR - CA - WA
Cross-Tie 500Kv Transmission Project,Draft,,11/09/2023,Bureau of Land Management,USFS,UT - NV
Draft Resource Management Plan Amendment (RMPA) and Environmental Impact Statement (EIS) for Big Game Habitat Conservation for Oil and Gas Management,Draft,02/06/2024,11/09/2023,Bureau of Land Management,"BR, USFWS, USFS, NRCS",CO
"Generic Environmental Impact Statement for License Renewal of Nuclear Plants, Supplement 60, Regarding License Renewal of Comanche Peak Nuclear Power Plant, Draft Report for Comment",Draft Supplement,12/18/2023,11/09/2023,Nuclear Regulatory Commission,,TX
B-21 Beddown Main Operating Base 2 or Main Operating Base 3 at Dyess AFB or Whiteman AFB,Draft,12/29/2023,11/09/2023,United States Air Force,,TX - MO
Gunnison Sage-Grouse Resource Management Plan Amendment,Draft,02/06/2024,11/09/2023,Bureau of Land Management,"APHIS, DOE, EPA, USFS, NPS, NRCS, WAPA",CO - UT
"T-7A Recapitalization at Laughlin Air Force Base, Texas",Draft,12/26/2023,11/09/2023,United States Air Force,,TX
ADOPTION - Odessa Subarea Special Study Columbia Basin Project To Replace Groundwater Currently Used for Irrigation Grant Adams Walla Walla and Franklin Counties WA,Final,,11/03/2023,Department of Agriculture,,WA
ADOPTION - Ocean Wind 1 Offshore Wind Farm,Final,,11/03/2023,National Marine Fisheries Service,,NJ
Walnut Ridge - Missouri State Line (Future I-57),Final,,11/03/2023,Federal Highway Administration,"USDA, EPA, USFWS, USACE",AR - MO
Sites Reservoir Project Final Environmental Impact Report/Environmental Impact Statement,Final,12/04/2023,11/03/2023,Bureau of Reclamation,"EPA, USFWS, NMFS, USACE, WAPA",CA
Final Site-Wide Environmental Impact Statement for Continued Operation of The Lawrence Livermore National Laboratory,Final,12/04/2023,11/03/2023,National Nuclear Security Administration,,CA
"Land Port of Entry Modernization and Expansion Project at International Falls, MN",Draft Supplement,12/08/2023,10/27/2023,General Services Administration,,MN
Goldrush Mine Project,Final,,10/27/2023,Bureau of Land Management,"EPA, USFWS",NV
Near-term Colorado River Operations Revised Draft Supplemental EIS,Draft Supplement,,10/27/2023,Bureau of Reclamation,"BIA, USFWS, IBWC, NPS, WAPA",CO - AZ - CA - NM - NV - UT - WY
