Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
"Lower Yellowstone Intake Diversion Dam Fish Passage Project, Montana",Final,10/27/2016,10/21/2016,U.S. Army Corps of Engineers,"USFWS, WAPA, BR",MT - ND
Effects of Oil and Gas Activities in the Arctic Ocean,Final,11/21/2016,10/21/2016,National Oceanic and Atmospheric Administration,BOEM,AK
Otay River Estuary Restoration Project San Diego Bay National Wildlife Refuge,Draft,12/05/2016,10/21/2016,Fish and Wildlife Service,USACE,CA
Amendment 5b to the 2006 Consolidated Atlantic Highly Migratory Species Fishery Management Plan,Draft,12/21/2016,10/21/2016,National Marine Fisheries Service,,AL - NAT - CT - DC - DE - FL - GA - MA - MD - ME - MS - NC - NH - NJ - NY - PR - RI - SC - TX - VA - VI
Vantage to Pomona Heights 230kV Transmission Line Project,Final,11/21/2016,10/21/2016,Bureau of Land Management,"BPA, BR, FHWA, USFWS, USA",WA
Long-Term Plan to Protect Adult  Salmon in the Lower Klamath River,Draft,12/01/2016,10/21/2016,Bureau of Reclamation,"BIA, USFWS, NMFS",CA
Ten Cent Community Wildfire Protection Project,Draft,12/05/2016,10/21/2016,Forest Service,,OR
Fire Island National Seashore General Management Plan,Final,11/18/2016,10/21/2016,National Park Service,,NY
Beasley Pond Analysis Area,Final,11/29/2016,10/21/2016,Forest Service,,FL
ADOPTION - Military Readiness Activities at Naval Weapons System Training Facility Boardman,Final,,10/14/2016,Federal Aviation Administration,,OR
Amendment 18 to the Northeast Multispecies Fishery Management Plan,Final,11/14/2016,10/14/2016,National Marine Fisheries Service,,MA - CT - DE - ME - NH - NJ - NY - RI
Programmatic - South Region of the Nationwide Public Safety Broadband Network,Draft,12/08/2016,10/14/2016,Department of Commerce,"DOD, DOE, DHS, FCC, USFS, GSA, NRCS, RUS, USAF, USDA",AL - PRO - AR - FL - GA - KY - LA - MS - NC - NM - OK - SC - TN - TX
Santa Margarita River Conjunctive Use Project,Final,11/14/2016,10/14/2016,United States Marine Corps,BR,CA
Long-Term Experimental and Management Plan (LTEMP) for the Operation of Glen Canyon Dam,Final,11/14/2016,10/14/2016,Bureau of Reclamation,"BIA, USFWS, WAPA, NPS",AZ - CA - CO - NM - NV - UT - WY
Chicago Red Line Extension,Draft,,10/14/2016,Federal Transit Administration,FHWA,IL
Millennium Bulk Terminals-Longview,Draft,11/29/2016,10/07/2016,U.S. Army Corps of Engineers,"EPA, USCG",WA
Recapitalization of Infrastructure Supporting Naval Spent Nuclear Fuel Handling at the Idaho National Laboratory,Final,11/07/2016,10/07/2016,Department of Energy,,ID
Proposed Land Use Plan Amendments for Segments 8 and 9 of the Gateway West 500-kV Transmission Line Project,Final Supplement,11/07/2016,10/07/2016,Bureau of Land Management,,ID
Upper Green River Area Rangeland Project,Draft,11/21/2016,10/07/2016,Forest Service,,WY
Atlanta to Chattanooga High Speed Ground Transportation Project,Draft,11/15/2016,10/07/2016,Federal Railroad Administration,,GA - TN
Continued Implementation of the 2008 Operating Agreement for the Rio Grande Project,Final,11/03/2016,10/07/2016,Bureau of Reclamation,IBWC,NM - TX
La Garita Hills Restoration Project,Draft,11/10/2016,09/30/2016,Forest Service,BLM,CO
ADOPTION - Magnolia LNG and Lake Charles Expansion Projects,Final,,09/30/2016,Department of Energy,,LA
"Gulf of Mexico OCS, Proposed Geological and Geophysical Activities",Draft,11/29/2016,09/30/2016,Bureau of Ocean Energy Management,NMFS,PRO - AL - FL - MS - TX
Land Acquisition and Airspace to Support Large-Scale MAGTF Live-Fire and Maneuver Training at MCAGCC Twentynine Palms CA,Draft Supplement,11/14/2016,09/30/2016,United States Navy,BLM,CA
Petition (15-300-01p) for Determination of Nonregulated Status for ASR368 Creeping Bentgrass,Draft,11/14/2016,09/30/2016,Animal and Plant Health Inspection Service,,REG
"Generic - License Renewal of Nuclear Plants Supplement 56 Regarding Fermi 2 Nuclear Power Plant, NUREG-1437",Final,10/27/2016,09/30/2016,Nuclear Regulatory Commission,,MI
Navajo Generating Station-Kayenta Mine Complex Project,Draft,12/12/2016,09/30/2016,Bureau of Reclamation,"BIA, BLM, EPA, USFWS, USFS, NPS, OSM",NV - UT - AZ
Sawtooth and Boise National Forest Invasive Species Project,Draft,,09/30/2016,Forest Service,,ID - UT
Lambert Houses Redevelopment,Final,10/31/2016,09/30/2016,Department of Housing and Urban Development,,NY
El Yunque National Forest Plan Revision,Draft,12/29/2016,09/30/2016,Forest Service,,PR
Craters of the Moon National Monument and Preserve Draft Management Plan Amendment,Draft,12/29/2016,09/30/2016,Bureau of Land Management,,ID
Forestwide Site-Specific Invasive Plant Management,Final,,09/30/2016,Forest Service,,WA
"Divert Activities and Exercises, Commonwealth of the Northern Mariana Islands",Final,10/24/2016,09/26/2016,United States Air Force,"FAA, USMC, USN",GU
Mountain Valley Project and Equitrans Expansion Project,Draft,12/20/2016,09/23/2016,Federal Energy Regulatory Commission,"BLM, DOT, EPA, USFS, USACE",VA - PA - WV
Lassen National Forest Over-Snow Vehicle(OSV) Use Designation,Final,,09/16/2016,Forest Service,,CA
Programmatic - West Region of the Nationwide Public Safety Broadband Network,Draft,11/15/2016,09/16/2016,Department of Commerce,"USDA, DOE, DHS, FCC, USFS, GSA, NRCS, USAF",AZ - AZ - CA - ID - NV - OR - WA
Gulf of Mexico OCS Oil and Gas Lease Sale: 2017 Central Planning Area Lease Sale 247 Final Supplemental Environmental Impact Statement,Final Supplement,10/17/2016,09/16/2016,Bureau of Ocean Energy Management,NPS,LA - AL - FL - MS - TX
South Shore of Staten Island Coastal Storm Risk Management Final Environmental Impact Statement,Final,10/17/2016,09/16/2016,U.S. Army Corps of Engineers,,NY
Los Padres Tamarisk Removal,Final,,09/16/2016,Forest Service,,CA
Bluestone Dam Safety Modification,Draft Supplement,10/27/2016,09/09/2016,U.S. Army Corps of Engineers,USFWS,WV - VA
Rasmussen Valley Mine,Final,10/11/2016,09/09/2016,Bureau of Land Management,"USACE, USFS",ID
Leach XPress and Rayne XPress Expansion Projects,Final,10/11/2016,09/09/2016,Federal Energy Regulatory Commission,"EPA, USFWS, USACE",KY - PA - OH - WV
Moose-Wilson Corridor Final Comprehensive Management Plan,Final,10/05/2016,09/09/2016,National Park Service,FHWA,WY
"Generic - License Renewal on Nuclear Plants, Supplement 57, Regarding LaSalle County Station, Units 1 and 2",Final Supplement,10/11/2016,09/09/2016,Nuclear Regulatory Commission,,IL
"Atlantic Coast of New York, East Rockaway Inlet to Rockaway Inlet and Jamaica Bay",Draft,11/17/2016,09/02/2016,U.S. Army Corps of Engineers,NPS,NY
Proposed Resource Management Plans for the Beaver Dam Wash and Red Cliffs National Conservation Areas; Proposed Amendment to the St. George Field Office Resource Management Plan,Final,10/03/2016,09/02/2016,Bureau of Land Management,,UT
Programmatic - Restoration Resulting from the Kalamazoo River Natural Resource Damage Assessment,Final,10/03/2016,09/02/2016,National Oceanic and Atmospheric Administration,USFWS,MI
Heeia National Estuarine Research Reserve,Draft,10/27/2016,09/02/2016,National Oceanic and Atmospheric Administration,,HI
Revision of 9B Regulations Governing Non-Federal Oil and Gas Activities,Final,,09/02/2016,National Park Service,,AL - CA - CO - FL - PRO - IN - KS - KY - LA - MS - MT - ND - NM - OH - OK - PA - TN - TX - UT - VA - WV - WY
I-4400/I-4700 - I-26 Widening,Draft,10/31/2016,09/02/2016,Federal Highway Administration,NPS,NC
Angoon Airport Project,Final,09/14/2016,09/02/2016,Federal Aviation Administration,"USFS, USACE",AK
Otay Mesa Conveyance and Disinfection System Project,Final,10/03/2016,09/02/2016,Department of State,,CA
Surveillance Towed Array Sensor System Low Frequency Active (SURTASS LFA) Sonar,Draft Supplement,,08/26/2016,United States Navy,NMFS,Other - AK - AL - AS - CA - DE - FL - GA - GU - HI - LA - MA - MD - ME - MS - NC - NH - NJ - NY - OR - RI - SC - TT - TX - VA - WA
Enhancing Protections for Hawaiian Spinner Dolphins to Prevent Disturbance,Draft,10/20/2016,08/26/2016,National Oceanic and Atmospheric Administration,,HI
"Analyze Impacts of NOAA¿s National Marine Fisheries Service Proposed Approval of the Continued Operation of 10 Hatchery Facilities for Trout, Salmon, and Steelhead Along the Oregon Coast, as Described in Oregon Department of Fish and Wildlife Hatchery and Genetic Management Plans Pursuant to Section 4(d) of the Endangered Species Act",Draft,10/25/2016,08/26/2016,National Marine Fisheries Service,,OR
Sheep Mountain Uranium Project,Final,,08/26/2016,Bureau of Land Management,"EPA, USFWS, NPS",WY
Phase 2 Fuel Efficiency Standards for Medium- and Heavy-Duty Engines and Vehicles,Final,,08/26/2016,National Highway Traffic Safety Administration,"EPA, DOE",NAT
Northwest SR-138 Corridor,Draft,10/03/2016,08/19/2016,California Department of Transportation,"ACHP, EPA, USFWS, USACE",CA
National Wildlife Refuge System Revision of Regulations Governing Non-Federal Oil and Gas Rights,Final,,08/19/2016,Fish and Wildlife Service,,NAT
Gunnison Sage-Grouse Rangewide Resource Management Plan Amendment,Draft,11/10/2016,08/12/2016,Bureau of Land Management,"BR, DOE, USFWS, USFS, NPS, NRCS, OSM",CO - UT
PROGRAMMATIC - Central Region of the Nationwide Public Safety Broadband Network,Draft,,08/12/2016,Department of Commerce,"USDA, DOE, DHS, FCC, FEMA, USFS, GSA, USAF",PRO - CO - IA - IL - IN - KS - MI - MN - MO - MT - ND - NE - OH - SD - UT - WI - WY
Arapahoe Basin Ski Area Projects,Final,,08/12/2016,Forest Service,,CO
West of Devers Upgrade Proect,Final,09/06/2016,08/05/2016,Bureau of Land Management,,CA
"Rover Pipeline, Panhandle Backhaul, and Trunkline Backhaul Projects",Final,09/01/2016,08/05/2016,Federal Energy Regulatory Commission,"EPA, USFWS, USACE",OH - IL - IN - MI - MS - PA - TN - WV
Golden Pass LNG Export Project,Final,09/09/2016,08/05/2016,Federal Energy Regulatory Commission,"DOE, DOT, EPA, USACE, USCG",LA - TX
"Lower Yaak, OBrien, Sheep Project",Final,08/30/2016,08/05/2016,Forest Service,,MT
Previously Issued Oil and Gas Leases in the White River National Forest,Final,,08/05/2016,Bureau of Land Management,"EPA, USFS",CO
Hampton Roads Crossing Study,Draft Supplement,09/19/2016,08/05/2016,Federal Highway Administration,"EPA, FTA, NMFS, USACE, USCG, USN",VA
"Fire Island Inlet to Montauk Point, New York Combined Beach Erosion Control and Hurricane Protection Project",Draft,,07/29/2016,U.S. Army Corps of Engineers,DOI,NY
PennEast Pipeline Project,Draft,09/12/2016,07/29/2016,Federal Energy Regulatory Commission,"EPA, USFWS, NRCS, USACE",PA - NJ
US 340 Improvement Study,Draft Supplement,09/29/2016,07/29/2016,Federal Highway Administration,,WV
Eastern Interior Proposed Resource Management Plan,Final,08/11/2016,07/29/2016,Bureau of Land Management,,AK
Gulf of Alaska Navy Training Activities,Final Supplement,08/10/2016,07/29/2016,United States Navy,NMFS,AK
Moab Master Leasing Plan and Proposed Resource Management Plan Amendments,Final,,07/22/2016,Bureau of Land Management,NPS,UT
The Pokagon Band of Potawatomi Indians Fee-to-Trust Transfer for Tribal Village and Casino,Final,08/22/2016,07/22/2016,Bureau of Indian Affairs,"EPA, USACE",IN
Cook Inlet Planning Area Oil and Gas Lease Sale 244 In the Cook Inlet,Draft,08/15/2016,07/22/2016,Bureau of Ocean Energy Management,NPS,AK
East Campus Integration Program,Draft,,07/22/2016,National Security Agency,,MD
Folsom Dam Raise Project,Second Draft Supplemental,09/16/2016,07/22/2016,U.S. Army Corps of Engineers,BR,CA
Lower Joseph Creek Restoration Project,Final,,07/22/2016,Forest Service,,OR
Na Pua Makani Wind Project and Habitat Conservation Plan,Final,08/19/2016,07/22/2016,Fish and Wildlife Service,,HI
Reno Creek In Situ Recovery Project,Draft Supplement,,07/22/2016,Nuclear Regulatory Commission,,WY
ADOPTION - Lake Charles Liquefaction Project,Final,,07/15/2016,Department of Energy,,LA
Telegraph Vegetation Project,Final,,07/15/2016,Forest Service,,MT
Puget Sound Nearshore Ecosystem Restoration,Final,08/10/2016,07/15/2016,U.S. Army Corps of Engineers,,WA
Mendota Pool Bypass and Reach 2B Improvements Project,Final,08/11/2016,07/15/2016,Bureau of Reclamation,,CA
NEXUS Gas Transmission Project and Texas Eastern Appalachian Lease Project,Draft,08/26/2016,07/15/2016,Federal Energy Regulatory Commission,"EPA, USFWS",OH - MI
Port Delfin LNG Project Deepwater Port Application,Draft,08/29/2016,07/15/2016,U.S. Coast Guard,"USACE, USA, ACHP, BOEM, DOD, DOE, DOS, DOI, EPA, FAA, FERC, USFWS, NMFS, NOAA, MARAD",LA - TX
Land-Water Interface and Service Pier Extension at Naval Base Kitsap Bangor,Final,08/11/2016,07/15/2016,United States Navy,"USACE, NMFS",WA
Texas-Oklahoma Passenger Rail Study Service-Level DEIS,Draft,08/25/2016,07/15/2016,Federal Railroad Administration,USACE,TX
Bottineau Light Rail Transit Metro Blue Line Extension FEIS,Final,08/12/2016,07/15/2016,Federal Transit Administration,"DOI, FAA, NPS, USACE",MN
Herring River Restoration Project,Final,08/08/2016,07/15/2016,National Park Service,"USFWS, NOAA, NRCS, EPA, USACE",MA
High Desert Corridor,Final,08/15/2016,07/15/2016,California Department of Transportation,"ACHP, BOP, EPA, FAA, FRA, STB, USACE",CA
Santa Fe National Forest Geothermal Leasing,Draft,10/28/2016,07/08/2016,Forest Service,"NPS, BLM",NM
Bull Mountain Unit Master Development Plan,Final,08/08/2016,07/08/2016,Bureau of Land Management,"EPA, USFS",CO
Jamul Indian Village,Final Supplement,07/21/2016,07/08/2016,National Indian Gaming Commission,,CA
Seminole Tribe of Florida Fee to Trust,Final,07/26/2016,07/08/2016,Bureau of Indian Affairs,,FL
Figure Eight Island Shoreline Management Project,Final,08/08/2016,07/08/2016,U.S. Army Corps of Engineers,,NC
Kake to Petersburg Transmission Line Intertie Project,Final,07/27/2016,07/01/2016,Forest Service,,AK
Tongass Land and Resource Management Plan Amendment,Final,08/01/2016,07/01/2016,Forest Service,,AK
Roan Plateau Planning Area Proposed Resource Management Plan Amendment,Final Supplement,,07/01/2016,Bureau of Land Management,"EPA, USFWS",CO
Dominguez-Escalante National Conservation Area Proposed Resource Management Plan,Final,,07/01/2016,Bureau of Land Management,"BR, USFWS, USFS",CO
Regulatory Amendment 16 to the Fishery Management Plan for the Snapper-Grouper Fishery of the South Atlantic Region.,Final,07/26/2016,07/01/2016,National Marine Fisheries Service,,FL - GA - NC - SC
Bald Mountain Mine North and South Operations Area Project,Final,07/25/2016,06/24/2016,Bureau of Land Management,USFWS,NV
US Route 460,Final Supplement,07/25/2016,06/24/2016,Federal Highway Administration,"EPA, USACE",VA
Flint Foothills Vegetation Management Project,Final,07/19/2016,06/24/2016,Forest Service,,MT
"Monument Butte Area Oil and Gas Development Project, Duchesne and Uintah County, UtahImpact Statement for Newfield Exploration Corporation Monument Butte Oil and Gas Development Project in Uintah and Duchesne Counties",Final,08/08/2016,06/24/2016,Bureau of Land Management,"BIA, EPA",UT
Lambert Houses Redevelopment,Draft,07/26/2016,06/24/2016,Department of Housing and Urban Development,,NY
Southern Palm Beach Island Comprehensive Shoreline Stabilization Project,Final,07/07/2016,06/17/2016,U.S. Army Corps of Engineers,,FL
Upper Ohio Navigation Study,Final,,06/17/2016,U.S. Army Corps of Engineers,USCG,PA
"Amendment 37 to the Fishery Management Plan for the Snapper-Grouper Fishery of the South Atlantic Region, Modification to the Hogfish Fishery Management Unit, Fishing Level Specifications for the Two South Atlantic Hogfish Stocks, Rebuilding Plan for the Florida Keys/East Florida Stock, and Establishment/Revision of Management Measures for Both Stocks",Draft,07/26/2016,06/17/2016,National Oceanic and Atmospheric Administration,,FL - GA - NC - SC
PROGRAMMATIC - Ash Impoundment Closure,Final,06/21/2016,06/10/2016,Tennessee Valley Authority,,TN - AL - KY
Potomac Yard Metrorail Station,Final,07/11/2016,06/10/2016,Federal Transit Administration,NPS,VA
US 50 Corridor East,Draft,08/10/2016,06/10/2016,Federal Highway Administration,"USACE, EPA",CO
Beaverhead-Deerlodge National Forest Land and Resource Management Plan to comply with District of Mont Court Order,Third Final Supplemental,07/20/2016,06/10/2016,Forest Service,,MT
Flower Garden Banks National Marine Sanctuary Boundary Expansion: Draft Environmental Impact Statement,Draft,08/17/2016,06/10/2016,National Oceanic and Atmospheric Administration,DOI,TX - AL - FL - LA - MS
Los Padres Tamarisk Removal,Draft,07/20/2016,06/10/2016,Forest Service,,CA
Morehead City Harbor Integrated Dredged Material Management Plan,Final,07/26/2016,06/10/2016,U.S. Army Corps of Engineers,NPS,NC
Restoration of Native Species in High Elevation Aquatic Ecosystems Plan and FEIS,Final,,06/10/2016,National Park Service,,CA
Lone Star Ore Body Development Project,Draft,07/25/2016,06/10/2016,U.S. Army Corps of Engineers,EPA,AZ
Aiya Solar Project,Final,07/06/2016,06/10/2016,Bureau of Indian Affairs,"BLM, EPA, USFWS",NV
Sweetheart Lake Hydroelectric Project Final Environmental Impact Statement,Final,,06/10/2016,Federal Energy Regulatory Commission,USACE,AK
Spruce Beetle Epidemic and Aspen Decline Management Response,Final,06/28/2016,06/03/2016,Forest Service,,CO
Wrangell Island Project,Draft,07/18/2016,06/03/2016,Forest Service,,AK
"Little Colorado River, Winslow, Arizona, Flood Risk Management Project",Draft,07/18/2016,06/03/2016,U.S. Army Corps of Engineers,,AZ
"South Bay Salt Pond Restoration Project Final Environmental Impact Statement/Report, Phase 2",Final,06/30/2016,06/03/2016,Fish and Wildlife Service,,CA
Green Mountain Project,Draft,07/18/2016,06/03/2016,Forest Service,,OR
Uncompahgre Draft Resource Management Plan,Draft,11/01/2016,06/03/2016,Bureau of Land Management,"BR, USFWS, USFS",CO
"Lower Yellowstone Intake Diversion Dam Fish Passage Project, Montana",Draft,07/28/2016,06/03/2016,U.S. Army Corps of Engineers,"USFWS, WAPA, BR",MT - ND
Herbert Hoover Dike Dam Safety Modification Study,Final,06/15/2016,06/03/2016,U.S. Army Corps of Engineers,,FL
Continental United States (CONUS) Interceptor Site,Draft,07/20/2016,06/03/2016,Department of Defense,"USA, USN",Other - ME - MI - NY - OH
Grand Parkway (State Highway 99) Segment B,Final,07/11/2016,06/03/2016,Federal Highway Administration,USACE,TX
"Flathead National Forest Plan Revision and Northern Continental Divide Ecosystem Grizzly Bear Conservation Strategy Forest Plan Amendments to the Lolo, Helena, Lewis & Clark, and Kootenai National Forests",Draft,10/03/2016,06/03/2016,Forest Service,,MT
Galton Vegetation Management,Draft,07/25/2016,06/03/2016,Forest Service,,MT
Bull Run Fossil Plant Landfill,Draft,07/26/2016,05/27/2016,Tennessee Valley Authority,,TN
"Revision of the Inyo, Sequoia and Sierra National Forests Land Management Plans",Draft,08/25/2016,05/27/2016,Forest Service,EPA,CA - NV
Southwest Coastal Louisiana,Final,06/20/2016,05/20/2016,U.S. Army Corps of Engineers,USFWS,LA
Proposed Cottonwood Resource Management Plan Amendment for Domestic Sheep Grazing,Final Supplement,,05/20/2016,Bureau of Land Management,USFS,ID
Designation of Dredged Material Disposal Site(s) in Eastern Long Island Sound (ELIS),Draft Supplement,05/20/2016,05/20/2016,Environmental Protection Agency,"USACE, NMFS",NY - CT
"Otay Mesa Conveyance and Disinfection System Project, Presidential Permit Application Review",Draft,06/27/2016,05/20/2016,Department of State,,CA
Coeur Rochester Mine Plan of Operations Amendment 10 and Closure Plan,Final,06/14/2016,05/20/2016,Bureau of Land Management,,NV
Energy Gateway South Transmission Project,Final,06/07/2016,05/13/2016,Bureau of Land Management,"BIA, BR, DOD, USFWS, USFS, NPS, USACE, USA, USN",WY - CO - UT
"PROGRAMMATIC - US Army Garrison Fort Campbell, Training Mission and Mission Support Activities",Final,06/09/2016,05/13/2016,United States Army,FAA,KY - TN
"NUREG-2184, Supplement to the U.S. Department of Energy¿s Environmental Impact Statement for a Geologic Repository for the Disposal of Spent Nuclear Fuel andHigh-Level Radioactive Waste at Yucca Mountain, Nye County, Nevada - Final Report",Final,,05/13/2016,Nuclear Regulatory Commission,,NV
Atlantic Sunrise Project,Draft,06/27/2016,05/13/2016,Federal Energy Regulatory Commission,USACE,VA - PA
Littlerock Reservoir Sediment Removal Project,Draft,06/30/2016,05/13/2016,Forest Service,,CA
Southwest Light Rail Transit,Final,06/07/2016,05/13/2016,Federal Transit Administration,USACE,MN
Granite Creek Watershed Mining Project,Final,04/13/2016,05/13/2016,Forest Service,,OR
Pima County Multi-species Conservation Plan,Final,,05/13/2016,Fish and Wildlife Service,,AZ
Rico-West Dolores Roads and Trails Travel Management Project,Draft,,05/06/2016,Forest Service,,CO
"Lower Klamath,Clear Lake,Tule Lake, Upper Klamath, and Bear Valley National Wildlife Refuges Draft Comprehensive Conservation Plan",Draft,08/04/2016,05/06/2016,Fish and Wildlife Service,BR,CA - OR
Programmatic - East Region of the Nationwide Public Safety Broadband Network,Draft,,05/06/2016,Department of Commerce,"DOD, DOE, DHS, FCC, USFS, GSA, NRCS, RUS",DC - CT - DE - MA - MD - ME - NH - NJ - NY - PA - PRO - RI - VA - VT - WV
Programmatic - Eagle Rule Revision,Draft,,05/06/2016,Fish and Wildlife Service,,PRO
Gap Landscape Restoration Project,Final,06/06/2016,05/06/2016,Forest Service,,OR
Forestwide Site Specific Invasive Plant Management,Draft,,05/06/2016,Forest Service,,WA
Bear River Narrows Hydroelectric Project P-12486 Final EIS,Final,,05/06/2016,Federal Energy Regulatory Commission,,ID
Combined License for the Bell Bend Nuclear Power Plant,Final,,04/29/2016,Nuclear Regulatory Commission,USACE,PA
Leach and Rayne Xpress Expansion Projects,Draft,06/13/2016,04/29/2016,Federal Energy Regulatory Commission,"EPA, USFWS, USACE",OH - KY - PA - WV
Rim Fire Reforestation,Final,,04/29/2016,Forest Service,,CA
North Charleston Navy Base Intermodal Container Transfer Facility North Charleston,Draft,07/07/2016,04/29/2016,U.S. Army Corps of Engineers,"EPA, FRA",SC
Interstate 10 Corridor Project,Draft,06/13/2016,04/29/2016,California Department of Transportation,"EPA, USACE",CA
Eagle Take Permits for the Chokecherry and Sierra Madre Phase I Wind Energy Project,Draft,06/27/2016,04/29/2016,Fish and Wildlife Service,BLM,WY
Town of Ocean Isle Beach Shoreline Management Project,Final,05/26/2016,04/29/2016,U.S. Army Corps of Engineers,,NC
Surface Coal and Lignite Mining,Final,,04/29/2016,U.S. Army Corps of Engineers,"EPA, USFWS, OSM",TX
Vista Grande Drainage Basin Improvement Project,Draft,07/01/2016,04/29/2016,National Park Service,,CA
Elk Late-Successional Reserve Enhancement Project,Final,05/27/2016,04/22/2016,Forest Service,,CA
"Gulf of Mexico OCS Oil and Gas Lease Sales: 2017-2022 Gulf of Mexico Lease Sales 249, 250, 251, 252, 253, 254, 256, 257, 259, and 261",Draft,08/16/2016,04/22/2016,Bureau of Ocean Energy Management,,LA - AL - FL - MS - TX
Western Oregon Resource Management Plan,Final,05/13/2016,04/15/2016,Bureau of Land Management,"EPA, USFWS, USFS, NMFS",OR
Midwest Wind Energy Multi-Species Habitat Conservation Plan,Draft,07/13/2016,04/15/2016,Fish and Wildlife Service,,MN - IA - IL - IN - MI - MO - OH - WI
Enefit Utility Corridor Project,Draft,,04/15/2016,Bureau of Land Management,"EPA, USFWS, USACE",UT
Continental Divide Creston Natural Gas Development Project,Final,,04/15/2016,Bureau of Land Management,,WY
ADOPTION - Department of Homeland Security Headquarters Consolidation at St. Elizabeths Master Plan Amendment - East Campus North Parcel St. Elizabeths Campus in Southeast Washington DC,Final,,04/08/2016,Department of Homeland Security,,DC
ADOPTION - Department of Homeland Security Headquarters at the St. Elizabeths West Campus to Consolidate Federal Office Space on a Secure Site,Final,,04/08/2016,Department of Homeland Security,,DC
Oil and Gas Leasing in Portions of the Wyoming Range in the Bridger-Teton National Forest,Second Draft Supplemental,,04/08/2016,Forest Service,BLM,WY
Tobias Ecosystem Restoration Project,Draft,05/19/2016,04/08/2016,Forest Service,,CA
Jamul Indian Village,Draft Supplement,05/10/2016,04/08/2016,Department of the Interior,,CA
"Vegetation Treatments Using Aminopyralid, Fluroxypyr, and Rimsulfuron on Bureau of Land Management Lands in 17 Western States",Final,,04/08/2016,Bureau of Land Management,,DC - AK - AZ - CA - CO - ID - MT - ND - NE - NM - NV - OK - OR - SD - TX - UT - WA - WY
Golden Pass LNG Export Project,Draft,,04/01/2016,Federal Energy Regulatory Commission,"DOE, DOT, EPA, USCG",TX - LA
Becker Integrated Resource Project (Formerly the Becker Vegetation Management Project),Final,05/13/2016,04/01/2016,Forest Service,,ID
Next NGA West Campus in the Greater St. Louis Metropolitan Area,Final,04/29/2016,04/01/2016,National Geospatial-Intelligence Agency,"USAF, USACE",MO - IL
U.S. Penitentiary and Federal Prison Camp  Letcher County,Revised Final,04/28/2016,04/01/2016,Bureau of Prisons,,KY
San Luis Transmission Project,Final,04/25/2016,03/25/2016,Western Area Power Administration,BR,CA
"Puyallup River Basin, Flood Risk Management General Investigation",Draft,05/23/2016,03/25/2016,U.S. Army Corps of Engineers,FEMA,WA
"Rio Grande Project, Continued Implementation of the 2008 Operating Agreement",Draft,05/06/2016,03/25/2016,Bureau of Reclamation,IBWC,NM - TX
U.S. Sheep Experiment Station Grazing and Associated Activities Project,Draft,,03/18/2016,Agriculture Research Service,,ID
Programmatic - Outer Continental Shelf Oil and Gas Leasing Program: 2017-2022,Draft,,03/18/2016,Bureau of Ocean Energy Management,"NASA, NPS",LA - VA - AK - AL - FL - GA - MS - NC - SC - TX
Disposal and Reuse of Surplus Property at Naval Station Newport,Draft,04/25/2016,03/18/2016,United States Navy,,RI
"Programmatic -Kennedy Space Center, Center-Wide Operations",Draft,04/26/2016,03/18/2016,National Aeronautics and Space Administration,"FAA, USFWS, NPS",FL
Analyze Impacts of NOAA's National Marine Fisheries Service Proposed 4(d) Determination under Limit 6 for Five Early Winter Steelhead Hatchery Programs in Puget Sound,Final,04/11/2016,03/11/2016,National Oceanic and Atmospheric Administration,,WA
Bitterroot National Forest Travel Management Planning,Final,04/06/2016,03/11/2016,Forest Service,,MT
"Gateway West Transmission Line Project, Segments 8 and 9",Draft Supplement,06/09/2016,03/11/2016,Bureau of Land Management,"USFWS, NPS, USACE",ID
Lookout Pass Ski Area Expansion,Draft,,03/11/2016,Forest Service,,MT - ID - MT
Hawaii Volcanoes National Park Management Plan,Final,,03/11/2016,National Park Service,,HI
ADOPTION - Production of Tritium in a  Commercial Light Water Reactor,Final Supplement,,03/04/2016,Tennessee Valley Authority,,TN
Cordova Hills,Final,,03/04/2016,U.S. Army Corps of Engineers,EPA,CA
PROGRAMMATIC - Nationwide Public Safety Broadband Network for the Non-Contiguous United States,Draft,,03/04/2016,Department of Commerce,"DOD, DOE, DHS, FCC, USFS, GSA, NRCS, RUS",PRO - AK - AS - GU - HI - Other - PR - VI
Jess Project,Final,04/04/2016,03/04/2016,Forest Service,,CA
Disposal of Greater-than-Class-C (GTCC) Low-Level Radioactive Waste and GTCC-Like Waste,Final,,03/04/2016,Department of Energy,EPA,NM - GA - ID - NM - NV - OR - SC - WA
United States Air Force F-35A Operational Beddown - Pacific,Final,03/21/2016,03/04/2016,United States Air Force,,AK
Production of Tritium in a Commercial Light Water Reactor,Final Supplement,04/04/2016,03/04/2016,National Nuclear Security Administration,TVA,TN
"Rover Pipeline, Panhandle Backhaul, and Trunkline Backhaul Projects",Draft,04/11/2016,02/26/2016,Federal Energy Regulatory Commission,"EPA, USFWS, USACE",OH - IL - IN - MI - MS - PA - TN - WV
Floating Houses Policy Review,Final,03/17/2016,02/26/2016,Tennessee Valley Authority,,TN - AL - GA - KY - MS - NC - VA
Gulf of Mexico OCS Oil and Gas Lease Sale: 2017 Central Planning Area Lease Sale 247,Draft Supplement,04/11/2016,02/26/2016,Bureau of Ocean Energy Management,NPS,LA - AL - FL - MS - TX
